province,tpye,data
湖北省,confirm,48206
湖北省,dead,1310
湖北省,heal,3441
湖北省,new_confirm,14840
湖北省外,confirm,11695
湖北省外,dead,58
湖北省外,heal,2578
湖北省外,new_confirm,325
