province,confirm,dead,heal,new_confirm
贵阳市,36,1,18,0
遵义市,32,0,18,0
毕节市,23,0,13,0
黔南布依族苗族自治州,17,0,12,0
黔东南苗族侗族自治州,10,0,8,0
铜仁市,10,0,10,0
六盘水市,10,1,6,0
安顺市,4,0,1,0
黔西南布依族苗族自治州,4,0,4,0
